ProductID,ProductName,Category,Views,Sales,Returns,Rating,AverageViewTime
61,Power Bank,Electronics,300,110,4,4.6,5.7
62,Wireless Router,Electronics,250,100,3,4.7,6.1
63,HDMI Switch,Electronics,200,80,5,4.5,4.0
64,Game Console,Electronics,180,70,2,4.8,7.6
65,Gaming Mouse,Electronics,350,120,1,4.9,6.8
66,Gaming Keyboard,Electronics,220,90,2,4.6,5.5
67,Monitor Stand,Accessories,300,130,6,4.4,4.2
68,Speaker Stand,Accessories,250,110,3,4.5,5.0
69,Wall Charger,Electronics,400,160,8,4.8,5.5
70,Bluetooth Receiver,Electronics,500,180,4,4.7,4.9
71,LED Strip Lights,Home,600,250,12,4.6,7.0
72,Smart Plugs,Home,450,200,10,4.5,5.5
73,Outdoor String Lights,Home,320,140,6,4.8,4.6
74,Patio Heater,Home,220,90,5,4.9,8.1
75,Camping Chair,Outdoor,180,60,2,4.3,5.3
76,Tent,Outdoor,300,120,1,4.6,6.7
77,Sleeping Bag,Outdoor,400,150,8,4.5,5.9
78,Hiking Backpack,Outdoor,350,140,3,4.7,7.2
79,Fishing Rod,Outdoor,250,90,5,4.4,5.0
80,Cooler,Outdoor,180,60,1,4.8,4.8
81,Camping Stove,Outdoor,300,110,4,4.6,5.2
82,Camping Lantern,Outdoor,220,80,5,4.3,4.4
83,Trekking Poles,Outdoor,150,50,2,4.7,6.0
84,Surfboard,Outdoor,100,30,1,4.2,7.5
85,Diving Mask,Outdoor,200,70,3,4.5,4.9
86,Smart Water Bottle,Outdoor,250,100,2,4.6,5.1
87,Dog Leash,Pets,180,60,5,4.4,3.5
88,Cat Tree,Pets,200,80,1,4.5,5.2
89,Dog Bed,Pets,150,50,3,4.8,4.0
90,Pet Food Bowl,Pets,300,120,6,4.6,2.9
91,Pet Grooming Kit,Pets,220,90,4,4.7,5.8
92,Pet Training Pad,Pets,100,40,2,4.3,3.6
93,Pet Carrier,Pets,250,110,3,4.5,4.4
94,Dog Toys,Pets,400,160,1,4.9,6.2
95,Cat Toys,Pets,350,130,5,4.6,3.8
96,Dog Coat,Pets,450,200,10,4.8,4.0
97,Pet Treats,Pets,320,140,6,4.2,3.5
98,Pet Bed,Pets,200,80,5,4.5,4.9
99,Pet Fence,Pets,250,100,2,4.4,4.8
100,Pet Carrier Backpack,Pets,180,70,3,4.7,5.6
